old_name;new_name;Alamat;Kecamatan;Kota;has_shopee;has_gofood;has_grabfood;kawasan;hari_pengiriman
Kebuli Yaman Mayor Oking;Kebuli Yaman Mayor Oking;Jl. Raya Mayor Oking Jaya Atmaja, Cirimekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16917;Cibinong;Kabupaten Bogor;No;Yes;No;2;Selasa dan Jumat
KY004 - Kebuli Yaman Depok Sawangan;KY004 - Kebuli Yaman Depok Sawangan;Jl. Muchtar Raya RT 001 RT 003 No. 35 (Depan Botani Lake) Sawangan Depok Jawa Barat. 16519;Sawangan;Kota Depok;Yes;Yes;Yes;2;Selasa dan Jumat
KY006 - Kebuli Yaman Depok Sentosa;KY006 - Kebuli Yaman Depok Sentosa;Jl. Sentosa Raya No. 22 Mekar Jaya, Kecamatan Sukmajaya, Kota Depok Jawa Barat. 16411;Sukmajaya;Kota Depok;Yes;Yes;Yes;2;Selasa dan Jumat
KY008 - Kebuli Yaman Depok Kelapa Dua;KY008 - Kebuli Yaman Depok Kelapa Dua;Jl. Raya Akses UI No. 67 Tugu, Cimanggis, Kota Depok Jawa Barat. 16451;Cimanggis;Kota Depok;Yes;Yes;Yes;2;Selasa dan Jumat
KY029 - Kebuli Yaman Cinere;KY029 - Kebuli Yaman Cinere;Jl. Cinere Raya No.4 Ruko Blok M, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16512;Cinere;Kota Depok;Yes;Yes;Yes;2;Selasa dan Jumat
KY001 - Kebuli Yaman Kutabumi (Pusat);KY001 - Kebuli Yaman Kutabumi (Pusat);jl.Raya Regensi II Blok FA 02 No.6 Gelam Jaya , Pasar Kemis;Jatiuwung;Banten;Yes;Yes;Yes;1;Senin dan Kamis
KY019 - Kebuli Yaman Ciledug;KY019 - Kebuli Yaman Ciledug;Jl. KH Hasyim Ashari No.85, RT.004/RW.002, Pinang, Kec. Pinang, Kota Tangerang, Banten 15145;Pinang;Kota Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
KY022 - Kebuli Yaman Citra Raya;KY022 - Kebuli Yaman Citra Raya;Jl. Citra Raya Boulevard Rukp Melia Street Blok. X01 No.09 Mekar Bakti,Kec. Panongan, Kab.Tangerang, Banten 15710;Panongan;Kabupaten Tangerang;Yes;Yes;Yes;1;Senin dan Kamis
KY026 - Kebuli Yaman Poris;KY026 - Kebuli Yaman Poris;Jl. Ruko Poris Paradise No.27 Blok B11,RT.004/RW.003, Poris Gaga,Kec. Batuceper,Kota Tangerang,Banten 15122;Batuceper;Kota Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
KY031 - Kebuli Yaman Perum;KY031 - Kebuli Yaman Perum;Jln Prambanan Raya no. 32.Rt 007/ 009, Kel. Cibodas Baru, Kec Cibodas, Perum - Nas II, Kota Tangerang, Banten 15138;Cibodas;Kota Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
KY032 - Kebuli Yaman Kelapa Dua Karawaci;KY032 - Kebuli Yaman Kelapa Dua Karawaci;Klp. Dua, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten;Kelapa Dua;Kabupaten Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
KY038 - Kebuli Yaman Talaga Bestari;KY038 - Kebuli Yaman Talaga Bestari;Perumahan Telaga Bestari, Ruko Portobello Blok G-11 Wana Kerta, Sindang Jaya, Tangerang Regency, Banten 15560;Sindang Jaya;Kabupaten Tangerang;Yes;Yes;Yes;1;Senin dan Kamis
KY041 - Kebuli Yaman Sepatan;KY041 - Kebuli Yaman Sepatan;Sepatan Residence,Blok A.1, Jln.Raya Mauk Km.11.Sepatan Tangerang.15520.;Pasar Kemis;Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
KY042 - Kebuli Yaman Batavia;KY042 - Kebuli Yaman Batavia;Ruko Grand Batavia Arcade Blok C2 No-17, Sindangsari, Kec. Pasar kemis, Kab. Tangerang, Banten 15560;Pasar Kemis;Kabupaten Tangerang;Yes;Yes;Yes;1;Senin dan Kamis
KY043 - Kebuli Yaman Taman Cibodas;KY043 - Kebuli Yaman Taman Cibodas;Jl. Raya Taman Cibodas Blok A2 No-12B, sangiang jaya, Kec. Priok, Kota Tangerang, Banten 15132;Periuk;Kota Tangerang;Yes;Yes;Yes;2;Selasa dan Jumat
